title,description,category_id,required_skills,education_required,experience_required,career_path,salary_range,future_prospect
Java开发工程师,负责Java后端服务的设计与开发，包括API、微服务等,33,"['Java', 'Spring Boot', 'MySQL', 'Redis', 'Git']",本科及以上,3年以上,"['初级开发', '中级开发', '高级开发', '架构师']","{""min"": 15000, ""max"": 30000}",需求稳定
Python开发工程师,负责Python应用开发，包括Web后端、数据处理等,33,"['Python', 'Django/Flask', 'SQL', 'RESTful API', 'Linux']",本科及以上,2年以上,"['初级开发', '中级开发', '高级开发', '技术专家']","{""min"": 12000, ""max"": 25000}",需求增长
前端开发工程师,负责Web前端界面开发和用户体验优化,34,"['HTML', 'CSS', 'JavaScript', 'React/Vue', 'TypeScript']",本科及以上,2年以上,"['初级前端', '中级前端', '高级前端', '前端架构师']","{""min"": 10000, ""max"": 22000}",市场需求大
大数据工程师,负责大数据平台搭建和数据处理流程开发,35,"['Hadoop', 'Spark', 'Hive', 'Python/Java', '分布式系统']",本科及以上,3年以上,"['数据工程师', '高级工程师', '架构师']","{""min"": 18000, ""max"": 35000}",快速发展
移动产品经理,负责移动应用产品规划、需求分析和产品迭代,36,"['产品规划', '用户研究', '原型设计', '项目管理', '数据分析']",本科及以上,3年以上,"['助理产品经理', '产品经理', '高级产品经理', '产品总监']","{""min"": 12000, ""max"": 28000}",持续增长
内容运营专员,负责内容策划、创作和发布，提高用户粘性,37,"['内容创作', '用户洞察', '数据分析', '社交媒体运营', '活动策划']",本科及以上,1-3年,"['内容专员', '内容主管', '内容总监']","{""min"": 8000, ""max"": 18000}",需求稳定
用户增长经理,专注于用户获取与留存策略的制定和执行,37,"['数据分析', '用户行为分析', '营销策略', 'A/B测试', '渠道管理']",本科及以上,3年以上,"['增长专员', '增长经理', '增长总监']","{""min"": 12000, ""max"": 25000}",前景广阔
网络安全工程师,负责网络安全防护和监控，识别和解决安全威胁,35,"['网络安全', '安全评估', '漏洞扫描', '加密技术', '安全审计']",本科及以上,3年以上,"['安全工程师', '高级安全工程师', '安全架构师']","{""min"": 15000, ""max"": 30000}",需求增长
云计算工程师,负责云平台架构设计、部署和维护,35,"['AWS/Azure/GCP', 'Docker', 'Kubernetes', 'IaC', '网络']",本科及以上,3年以上,"['云工程师', '高级云工程师', '云架构师']","{""min"": 18000, ""max"": 35000}",快速发展
电子商务运营,负责电商平台的日常运营和活动策划,37,"['电商平台', '营销策划', '数据分析', '供应链管理', '客户服务']",大专及以上,2年以上,"['运营专员', '运营经理', '运营总监']","{""min"": 8000, ""max"": 20000}",稳定发展
社区运营专员,负责线上社区的日常管理和活动组织,37,"['社区管理', '内容策划', '用户互动', '活动组织', '危机处理']",大专及以上,1年以上,"['社区专员', '社区经理', '社区总监']","{""min"": 7000, ""max"": 15000}",需求稳定
数据分析师,负责数据收集、清洗、分析和可视化,38,"['SQL', 'Excel', 'Python/R', '数据可视化', '统计分析']",本科及以上,2年以上,"['初级分析师', '高级分析师', '数据经理']","{""min"": 10000, ""max"": 20000}",需求增长
商业智能分析师,负责业务数据分析和商业决策支持,38,"['BI工具', 'SQL', '数据建模', '数据仓库', '业务分析']",本科及以上,3年以上,"['BI分析师', 'BI经理', '数据总监']","{""min"": 12000, ""max"": 25000}",需求增长
企业产品经理,负责企业级软件产品的规划和迭代管理,36,"['需求分析', '产品规划', '项目管理', '用户研究', '商业分析']",本科及以上,3年以上,"['产品经理', '高级产品经理', '产品总监']","{""min"": 15000, ""max"": 30000}",持续增长
UI设计师,负责用户界面视觉设计和交互设计,34,"['Figma/Sketch', '视觉设计', '交互设计', '用户体验', '界面原型']",本科及以上,2年以上,"['初级设计师', '高级设计师', '设计总监']","{""min"": 10000, ""max"": 20000}",需求稳定 
